SHINEuid,FISH_Broad_Type,Occurrences
39481,AGRICULTURE AND SUBSISTENCE,1
39482,DOMESTIC,1
39482,WATER SUPPLY AND DRAINAGE,1
39483,AGRICULTURE AND SUBSISTENCE,2
39484,AGRICULTURE AND SUBSISTENCE,2
39485,AGRICULTURE AND SUBSISTENCE,1
39486,DOMESTIC,2
39487,AGRICULTURE AND SUBSISTENCE,1
39488,AGRICULTURE AND SUBSISTENCE,4
39489,AGRICULTURE AND SUBSISTENCE,1
39489,DOMESTIC,1
39489,WATER SUPPLY AND DRAINAGE,1
39490,AGRICULTURE AND SUBSISTENCE,1
39490,INDUSTRIAL,1
39491,DOMESTIC,1
39492,AGRICULTURE AND SUBSISTENCE,3
39493,AGRICULTURE AND SUBSISTENCE,1
39494,DOMESTIC,1
39495,AGRICULTURE AND SUBSISTENCE,4
39496,AGRICULTURE AND SUBSISTENCE,1
39497,AGRICULTURE AND SUBSISTENCE,1
39498,AGRICULTURE AND SUBSISTENCE,1
39498,DOMESTIC,1
39499,AGRICULTURE AND SUBSISTENCE,1
39500,AGRICULTURE AND SUBSISTENCE,1
39501,AGRICULTURE AND SUBSISTENCE,1
39502,AGRICULTURE AND SUBSISTENCE,1
39503,AGRICULTURE AND SUBSISTENCE,1
39504,MONUMENT (BY FORM),1
39505,INDUSTRIAL,1
39506,INDUSTRIAL,1
39507,AGRICULTURE AND SUBSISTENCE,1
39508,AGRICULTURE AND SUBSISTENCE,1
39509,MONUMENT (BY FORM),1
39510,AGRICULTURE AND SUBSISTENCE,1
39511,AGRICULTURE AND SUBSISTENCE,1
39512,COMMERCIAL,1
39513,MONUMENT (BY FORM),1
39514,AGRICULTURE AND SUBSISTENCE,1
39515,AGRICULTURE AND SUBSISTENCE,1
39516,DOMESTIC,1
39517,AGRICULTURE AND SUBSISTENCE,1
39518,TRANSPORT,1
39519,TRANSPORT,1
39520,WATER SUPPLY AND DRAINAGE,1
39521,MONUMENT (BY FORM),1
39522,INDUSTRIAL,1
39523,DOMESTIC,1
39524,INDUSTRIAL,1
39525,MONUMENT (BY FORM),1
39526,TRANSPORT,1
39527,"RELIGIOUS, RITUAL AND FUNERARY",1
39528,AGRICULTURE AND SUBSISTENCE,1
39528,INDUSTRIAL,1
39529,AGRICULTURE AND SUBSISTENCE,1
39529,MONUMENT (BY FORM),1
39530,MONUMENT (BY FORM),1
39531,INDUSTRIAL,1
39532,"RELIGIOUS, RITUAL AND FUNERARY",1
39533,TRANSPORT,1
39534,"RELIGIOUS, RITUAL AND FUNERARY",1
39535,INDUSTRIAL,1
39536,INDUSTRIAL,1
39537,INDUSTRIAL,1
39538,MONUMENT (BY FORM),1
39539,INDUSTRIAL,1
39540,TRANSPORT,1
39541,INDUSTRIAL,1
39542,"RELIGIOUS, RITUAL AND FUNERARY",1
39543,DOMESTIC,1
39544,"RELIGIOUS, RITUAL AND FUNERARY",1
39545,"RELIGIOUS, RITUAL AND FUNERARY",1
39546,AGRICULTURE AND SUBSISTENCE,1
39547,MONUMENT (BY FORM),1
39548,"RELIGIOUS, RITUAL AND FUNERARY",1
39549,AGRICULTURE AND SUBSISTENCE,4
39550,DOMESTIC,1
39551,AGRICULTURE AND SUBSISTENCE,1
39552,INDUSTRIAL,1
39553,INDUSTRIAL,1
39554,MONUMENT (BY FORM),1
39555,"RELIGIOUS, RITUAL AND FUNERARY",1
39556,"RELIGIOUS, RITUAL AND FUNERARY",1
39557,"RELIGIOUS, RITUAL AND FUNERARY",1
39558,"RELIGIOUS, RITUAL AND FUNERARY",1
39559,"RELIGIOUS, RITUAL AND FUNERARY",1
39560,INDUSTRIAL,1
39561,INDUSTRIAL,1
39562,INDUSTRIAL,1
39563,INDUSTRIAL,1
39564,INDUSTRIAL,1
39565,INDUSTRIAL,1
39566,NA,1
39567,INDUSTRIAL,1
39567,MONUMENT (BY FORM),1
39568,COMMERCIAL,1
39569,DOMESTIC,1
39570,INDUSTRIAL,1
39571,INDUSTRIAL,1
39572,INDUSTRIAL,1
39573,INDUSTRIAL,1
39574,INDUSTRIAL,1
39575,MONUMENT (BY FORM),1
39576,INDUSTRIAL,1
39576,MONUMENT (BY FORM),1
39577,TRANSPORT,1
39578,INDUSTRIAL,1
39579,AGRICULTURE AND SUBSISTENCE,1
39580,TRANSPORT,1
39581,TRANSPORT,1
39582,AGRICULTURE AND SUBSISTENCE,1
39583,AGRICULTURE AND SUBSISTENCE,1
39584,INDUSTRIAL,1
39585,INDUSTRIAL,1
39586,INDUSTRIAL,1
39587,INDUSTRIAL,1
39588,INDUSTRIAL,1
39589,INDUSTRIAL,1
39590,TRANSPORT,1
39591,INDUSTRIAL,1
39592,"GARDENS, PARKS AND URBAN SPACES",1
39593,AGRICULTURE AND SUBSISTENCE,1
39594,AGRICULTURE AND SUBSISTENCE,1
39595,AGRICULTURE AND SUBSISTENCE,1
39596,AGRICULTURE AND SUBSISTENCE,1
39597,AGRICULTURE AND SUBSISTENCE,1
39598,AGRICULTURE AND SUBSISTENCE,1
39599,AGRICULTURE AND SUBSISTENCE,1
39600,AGRICULTURE AND SUBSISTENCE,1
39601,INDUSTRIAL,1
39602,AGRICULTURE AND SUBSISTENCE,1
39603,AGRICULTURE AND SUBSISTENCE,1
39604,INDUSTRIAL,1
39605,TRANSPORT,1
39606,AGRICULTURE AND SUBSISTENCE,1
39607,AGRICULTURE AND SUBSISTENCE,1
39608,AGRICULTURE AND SUBSISTENCE,1
39609,INDUSTRIAL,1
39610,INDUSTRIAL,1
39611,INDUSTRIAL,1
39612,AGRICULTURE AND SUBSISTENCE,1
39613,AGRICULTURE AND SUBSISTENCE,1
39614,AGRICULTURE AND SUBSISTENCE,1
39615,AGRICULTURE AND SUBSISTENCE,1
39616,AGRICULTURE AND SUBSISTENCE,1
39617,AGRICULTURE AND SUBSISTENCE,1
39618,AGRICULTURE AND SUBSISTENCE,1
39619,AGRICULTURE AND SUBSISTENCE,1
39620,AGRICULTURE AND SUBSISTENCE,1
39621,"RELIGIOUS, RITUAL AND FUNERARY",1
39622,"RELIGIOUS, RITUAL AND FUNERARY",1
39623,"RELIGIOUS, RITUAL AND FUNERARY",1
39624,"RELIGIOUS, RITUAL AND FUNERARY",1
39625,"RELIGIOUS, RITUAL AND FUNERARY",1
39626,"RELIGIOUS, RITUAL AND FUNERARY",1
39627,"RELIGIOUS, RITUAL AND FUNERARY",1
39628,"RELIGIOUS, RITUAL AND FUNERARY",1
39629,"RELIGIOUS, RITUAL AND FUNERARY",1
39630,"RELIGIOUS, RITUAL AND FUNERARY",1
39631,"RELIGIOUS, RITUAL AND FUNERARY",1
39632,"RELIGIOUS, RITUAL AND FUNERARY",1
39633,"RELIGIOUS, RITUAL AND FUNERARY",1
39634,"RELIGIOUS, RITUAL AND FUNERARY",1
39635,"RELIGIOUS, RITUAL AND FUNERARY",1
39636,"RELIGIOUS, RITUAL AND FUNERARY",1
39637,"RELIGIOUS, RITUAL AND FUNERARY",1
39638,"RELIGIOUS, RITUAL AND FUNERARY",1
39639,"RELIGIOUS, RITUAL AND FUNERARY",1
39640,INDUSTRIAL,1
39641,"RELIGIOUS, RITUAL AND FUNERARY",1
39642,AGRICULTURE AND SUBSISTENCE,1
39643,"RELIGIOUS, RITUAL AND FUNERARY",1
39644,"RELIGIOUS, RITUAL AND FUNERARY",1
39645,AGRICULTURE AND SUBSISTENCE,1
39646,AGRICULTURE AND SUBSISTENCE,1
39647,"RELIGIOUS, RITUAL AND FUNERARY",1
39648,AGRICULTURE AND SUBSISTENCE,1
39649,AGRICULTURE AND SUBSISTENCE,1
39650,TRANSPORT,1
39651,AGRICULTURE AND SUBSISTENCE,1
39652,AGRICULTURE AND SUBSISTENCE,1
39653,AGRICULTURE AND SUBSISTENCE,1
39654,AGRICULTURE AND SUBSISTENCE,1
39655,AGRICULTURE AND SUBSISTENCE,1
39656,INDUSTRIAL,1
39657,AGRICULTURE AND SUBSISTENCE,1
39658,INDUSTRIAL,1
39659,INDUSTRIAL,1
39660,INDUSTRIAL,1
39661,INDUSTRIAL,1
39662,AGRICULTURE AND SUBSISTENCE,1
39663,INDUSTRIAL,1
39664,INDUSTRIAL,1
39665,AGRICULTURE AND SUBSISTENCE,1
39666,AGRICULTURE AND SUBSISTENCE,1
39667,AGRICULTURE AND SUBSISTENCE,1
39668,"RELIGIOUS, RITUAL AND FUNERARY",1
39669,COMMEMORATIVE,1
39669,"RELIGIOUS, RITUAL AND FUNERARY",1
39670,AGRICULTURE AND SUBSISTENCE,2
39671,INDUSTRIAL,1
39672,TRANSPORT,1
39673,TRANSPORT,1
39674,INDUSTRIAL,1
39675,INDUSTRIAL,1
39676,AGRICULTURE AND SUBSISTENCE,1
39677,TRANSPORT,1
39678,AGRICULTURE AND SUBSISTENCE,1
39679,AGRICULTURE AND SUBSISTENCE,1
39680,AGRICULTURE AND SUBSISTENCE,1
39681,AGRICULTURE AND SUBSISTENCE,1
39682,AGRICULTURE AND SUBSISTENCE,1
39683,AGRICULTURE AND SUBSISTENCE,1
39684,AGRICULTURE AND SUBSISTENCE,1
39685,AGRICULTURE AND SUBSISTENCE,1
39686,AGRICULTURE AND SUBSISTENCE,1
39687,MONUMENT (BY FORM),1
39688,WATER SUPPLY AND DRAINAGE,1
39689,AGRICULTURE AND SUBSISTENCE,1
39690,AGRICULTURE AND SUBSISTENCE,1
39691,AGRICULTURE AND SUBSISTENCE,1
39692,AGRICULTURE AND SUBSISTENCE,1
39693,AGRICULTURE AND SUBSISTENCE,1
39694,AGRICULTURE AND SUBSISTENCE,1
39695,AGRICULTURE AND SUBSISTENCE,1
39696,AGRICULTURE AND SUBSISTENCE,1
39697,AGRICULTURE AND SUBSISTENCE,1
39698,AGRICULTURE AND SUBSISTENCE,1
39699,AGRICULTURE AND SUBSISTENCE,1
39700,"RELIGIOUS, RITUAL AND FUNERARY",1
39701,"RELIGIOUS, RITUAL AND FUNERARY",1
39702,COMMEMORATIVE,1
39702,"RELIGIOUS, RITUAL AND FUNERARY",1
39703,"RELIGIOUS, RITUAL AND FUNERARY",1
39704,"RELIGIOUS, RITUAL AND FUNERARY",1
39705,"RELIGIOUS, RITUAL AND FUNERARY",1
39706,"RELIGIOUS, RITUAL AND FUNERARY",1
39707,"RELIGIOUS, RITUAL AND FUNERARY",1
39708,"RELIGIOUS, RITUAL AND FUNERARY",1
39709,"RELIGIOUS, RITUAL AND FUNERARY",1
39710,AGRICULTURE AND SUBSISTENCE,1
39711,TRANSPORT,1
39712,AGRICULTURE AND SUBSISTENCE,1
39713,AGRICULTURE AND SUBSISTENCE,1
39714,AGRICULTURE AND SUBSISTENCE,1
39715,AGRICULTURE AND SUBSISTENCE,1
39716,AGRICULTURE AND SUBSISTENCE,1
39717,AGRICULTURE AND SUBSISTENCE,1
39718,AGRICULTURE AND SUBSISTENCE,1
39719,NA,1
39720,AGRICULTURE AND SUBSISTENCE,1
39721,NA,1
39722,TRANSPORT,1
39723,AGRICULTURE AND SUBSISTENCE,1
39724,AGRICULTURE AND SUBSISTENCE,1
39725,AGRICULTURE AND SUBSISTENCE,1
39726,AGRICULTURE AND SUBSISTENCE,1
39727,AGRICULTURE AND SUBSISTENCE,1
39728,TRANSPORT,1
39729,AGRICULTURE AND SUBSISTENCE,1
39730,INDUSTRIAL,1
39731,INDUSTRIAL,1
39732,INDUSTRIAL,1
39733,INDUSTRIAL,1
39734,INDUSTRIAL,1
39735,INDUSTRIAL,1
39736,INDUSTRIAL,1
39737,INDUSTRIAL,1
39738,MONUMENT (BY FORM),1
39739,MONUMENT (BY FORM),1
39740,MONUMENT (BY FORM),1
39741,MONUMENT (BY FORM),1
39742,INDUSTRIAL,1
39743,INDUSTRIAL,1
39744,MONUMENT (BY FORM),1
39745,MONUMENT (BY FORM),1
39746,MONUMENT (BY FORM),1
39747,MONUMENT (BY FORM),1
39748,INDUSTRIAL,1
39749,INDUSTRIAL,1
39750,INDUSTRIAL,1
39751,TRANSPORT,1
39752,TRANSPORT,1
39753,TRANSPORT,1
39754,INDUSTRIAL,1
39755,MONUMENT (BY FORM),1
39756,INDUSTRIAL,1
39757,MONUMENT (BY FORM),1
39758,INDUSTRIAL,1
39759,TRANSPORT,1
39760,MONUMENT (BY FORM),1
39761,MONUMENT (BY FORM),1
39762,MONUMENT (BY FORM),1
39763,MONUMENT (BY FORM),1
39764,INDUSTRIAL,1
39765,INDUSTRIAL,1
39766,INDUSTRIAL,1
39767,AGRICULTURE AND SUBSISTENCE,1
39768,MONUMENT (BY FORM),1
39769,MONUMENT (BY FORM),1
39770,AGRICULTURE AND SUBSISTENCE,1
39771,AGRICULTURE AND SUBSISTENCE,1
39772,AGRICULTURE AND SUBSISTENCE,1
39773,TRANSPORT,1
39774,TRANSPORT,1
39775,AGRICULTURE AND SUBSISTENCE,1
39776,INDUSTRIAL,1
39777,MONUMENT (BY FORM),1
39778,INDUSTRIAL,1
39779,MONUMENT (BY FORM),1
39780,INDUSTRIAL,1
39781,INDUSTRIAL,1
39782,MONUMENT (BY FORM),1
39783,TRANSPORT,1
39784,MONUMENT (BY FORM),1
39785,INDUSTRIAL,1
39786,TRANSPORT,1
39787,TRANSPORT,1
39788,AGRICULTURE AND SUBSISTENCE,1
39789,TRANSPORT,1
39790,TRANSPORT,1
39791,AGRICULTURE AND SUBSISTENCE,1
39792,AGRICULTURE AND SUBSISTENCE,1
39793,AGRICULTURE AND SUBSISTENCE,1
39794,AGRICULTURE AND SUBSISTENCE,1
39795,AGRICULTURE AND SUBSISTENCE,1
39796,AGRICULTURE AND SUBSISTENCE,1
39797,AGRICULTURE AND SUBSISTENCE,1
39798,AGRICULTURE AND SUBSISTENCE,1
39799,AGRICULTURE AND SUBSISTENCE,1
39800,AGRICULTURE AND SUBSISTENCE,1
39801,AGRICULTURE AND SUBSISTENCE,1
39802,AGRICULTURE AND SUBSISTENCE,1
39803,AGRICULTURE AND SUBSISTENCE,1
39804,WATER SUPPLY AND DRAINAGE,1
39805,INDUSTRIAL,1
39806,TRANSPORT,1
39807,MONUMENT (BY FORM),1
39808,TRANSPORT,1
39809,AGRICULTURE AND SUBSISTENCE,1
39810,INDUSTRIAL,1
39811,AGRICULTURE AND SUBSISTENCE,1
39812,AGRICULTURE AND SUBSISTENCE,1
39813,AGRICULTURE AND SUBSISTENCE,1
39814,AGRICULTURE AND SUBSISTENCE,1
39815,AGRICULTURE AND SUBSISTENCE,1
39816,AGRICULTURE AND SUBSISTENCE,1
39817,AGRICULTURE AND SUBSISTENCE,1
39818,AGRICULTURE AND SUBSISTENCE,1
39819,AGRICULTURE AND SUBSISTENCE,1
39820,AGRICULTURE AND SUBSISTENCE,1
39821,INDUSTRIAL,1
39822,INDUSTRIAL,1
39823,AGRICULTURE AND SUBSISTENCE,1
39824,NA,1
39825,AGRICULTURE AND SUBSISTENCE,1
39826,AGRICULTURE AND SUBSISTENCE,1
39827,AGRICULTURE AND SUBSISTENCE,1
39828,AGRICULTURE AND SUBSISTENCE,1
39829,AGRICULTURE AND SUBSISTENCE,1
39830,AGRICULTURE AND SUBSISTENCE,1
39831,AGRICULTURE AND SUBSISTENCE,1
39832,AGRICULTURE AND SUBSISTENCE,1
39833,INDUSTRIAL,1
39834,AGRICULTURE AND SUBSISTENCE,1
39835,"RELIGIOUS, RITUAL AND FUNERARY",1
39836,INDUSTRIAL,1
39837,INDUSTRIAL,1
39838,INDUSTRIAL,1
39839,INDUSTRIAL,1
39840,INDUSTRIAL,1
39841,INDUSTRIAL,1
39842,INDUSTRIAL,1
39843,INDUSTRIAL,1
39844,INDUSTRIAL,1
39845,INDUSTRIAL,1
39846,INDUSTRIAL,1
39847,INDUSTRIAL,1
39848,INDUSTRIAL,1
39849,INDUSTRIAL,1
39850,INDUSTRIAL,1
39851,INDUSTRIAL,1
39852,INDUSTRIAL,1
39853,INDUSTRIAL,1
39854,INDUSTRIAL,1
39855,TRANSPORT,1
39856,INDUSTRIAL,1
39857,INDUSTRIAL,1
39858,INDUSTRIAL,1
39859,INDUSTRIAL,1
39860,INDUSTRIAL,1
39861,INDUSTRIAL,1
39862,INDUSTRIAL,1
39863,INDUSTRIAL,1
39864,INDUSTRIAL,1
39865,INDUSTRIAL,1
39866,INDUSTRIAL,1
39867,INDUSTRIAL,1
39868,INDUSTRIAL,1
39869,INDUSTRIAL,1
39870,INDUSTRIAL,1
39871,INDUSTRIAL,1
39872,INDUSTRIAL,1
39873,INDUSTRIAL,1
39874,INDUSTRIAL,1
39875,INDUSTRIAL,1
39876,INDUSTRIAL,1
39877,INDUSTRIAL,1
39878,INDUSTRIAL,1
39879,MONUMENT (BY FORM),1
39880,INDUSTRIAL,1
39881,INDUSTRIAL,1
39882,INDUSTRIAL,1
39883,INDUSTRIAL,1
39884,INDUSTRIAL,1
39885,INDUSTRIAL,1
39886,INDUSTRIAL,1
39887,INDUSTRIAL,1
39888,INDUSTRIAL,1
39889,MONUMENT (BY FORM),1
39890,AGRICULTURE AND SUBSISTENCE,1
39891,INDUSTRIAL,1
39892,INDUSTRIAL,1
39893,INDUSTRIAL,1
39894,INDUSTRIAL,1
39895,INDUSTRIAL,1
39896,INDUSTRIAL,1
39897,INDUSTRIAL,1
39898,INDUSTRIAL,1
39899,INDUSTRIAL,1
39900,INDUSTRIAL,1
39901,INDUSTRIAL,1
39902,NA,1
39903,NA,1
39904,AGRICULTURE AND SUBSISTENCE,1
39905,MONUMENT (BY FORM),1
39906,AGRICULTURE AND SUBSISTENCE,1
39907,AGRICULTURE AND SUBSISTENCE,1
39908,AGRICULTURE AND SUBSISTENCE,1
39909,AGRICULTURE AND SUBSISTENCE,1
39910,AGRICULTURE AND SUBSISTENCE,1
39911,AGRICULTURE AND SUBSISTENCE,1
39912,MONUMENT (BY FORM),1
39913,AGRICULTURE AND SUBSISTENCE,1
39914,DOMESTIC,1
39915,DOMESTIC,1
39916,DOMESTIC,1
39917,DOMESTIC,1
39918,DOMESTIC,1
39919,DOMESTIC,1
39920,DOMESTIC,1
39921,DOMESTIC,1
39922,DOMESTIC,1
39923,AGRICULTURE AND SUBSISTENCE,1
39924,AGRICULTURE AND SUBSISTENCE,1
39925,AGRICULTURE AND SUBSISTENCE,1
39926,MONUMENT (BY FORM),1
39927,MONUMENT (BY FORM),1
39928,AGRICULTURE AND SUBSISTENCE,1
39929,AGRICULTURE AND SUBSISTENCE,1
39930,AGRICULTURE AND SUBSISTENCE,1
39931,AGRICULTURE AND SUBSISTENCE,1
39932,INDUSTRIAL,1
39933,AGRICULTURE AND SUBSISTENCE,1
39934,AGRICULTURE AND SUBSISTENCE,1
39935,AGRICULTURE AND SUBSISTENCE,1
39936,MONUMENT (BY FORM),1
39937,AGRICULTURE AND SUBSISTENCE,1
39938,INDUSTRIAL,1
39939,AGRICULTURE AND SUBSISTENCE,1
39940,AGRICULTURE AND SUBSISTENCE,1
39941,MONUMENT (BY FORM),1
39942,INDUSTRIAL,1
39943,MONUMENT (BY FORM),1
39944,INDUSTRIAL,1
39945,MONUMENT (BY FORM),1
39946,AGRICULTURE AND SUBSISTENCE,1
39947,AGRICULTURE AND SUBSISTENCE,1
39948,MONUMENT (BY FORM),1
39949,TRANSPORT,1
39950,TRANSPORT,1
39951,MONUMENT (BY FORM),1
39952,INDUSTRIAL,1
39953,MONUMENT (BY FORM),1
39954,INDUSTRIAL,1
39955,"RELIGIOUS, RITUAL AND FUNERARY",1
39956,MONUMENT (BY FORM),1
39957,MONUMENT (BY FORM),1
39958,AGRICULTURE AND SUBSISTENCE,1
39959,AGRICULTURE AND SUBSISTENCE,1
39960,TRANSPORT,1
39961,MONUMENT (BY FORM),1
39962,INDUSTRIAL,1
39963,INDUSTRIAL,1
39964,TRANSPORT,1
39965,TRANSPORT,1
39966,INDUSTRIAL,1
39967,MONUMENT (BY FORM),1
39968,INDUSTRIAL,1
39969,INDUSTRIAL,1
39970,INDUSTRIAL,1
39971,INDUSTRIAL,1
39972,AGRICULTURE AND SUBSISTENCE,1
39973,AGRICULTURE AND SUBSISTENCE,1
39974,"RELIGIOUS, RITUAL AND FUNERARY",1
39975,TRANSPORT,1
39976,MONUMENT (BY FORM),1
39977,"RELIGIOUS, RITUAL AND FUNERARY",1
39978,MONUMENT (BY FORM),1
39979,AGRICULTURE AND SUBSISTENCE,1
39980,MONUMENT (BY FORM),1
39981,MONUMENT (BY FORM),1
39982,DOMESTIC,1
39983,MONUMENT (BY FORM),1
39984,MONUMENT (BY FORM),1
39985,"RELIGIOUS, RITUAL AND FUNERARY",1
39986,MONUMENT (BY FORM),1
39987,INDUSTRIAL,1
39988,INDUSTRIAL,1
39989,INDUSTRIAL,1
39990,INDUSTRIAL,1
39991,INDUSTRIAL,1
39992,INDUSTRIAL,1
39993,INDUSTRIAL,1
39994,INDUSTRIAL,1
39995,INDUSTRIAL,1
39996,INDUSTRIAL,1
39997,INDUSTRIAL,1
39998,INDUSTRIAL,1
39998,MONUMENT (BY FORM),1
39999,TRANSPORT,1
40000,"RELIGIOUS, RITUAL AND FUNERARY",1
40001,AGRICULTURE AND SUBSISTENCE,1
40002,AGRICULTURE AND SUBSISTENCE,1
40003,AGRICULTURE AND SUBSISTENCE,1
40004,AGRICULTURE AND SUBSISTENCE,1
40005,AGRICULTURE AND SUBSISTENCE,1
40006,AGRICULTURE AND SUBSISTENCE,1
40007,AGRICULTURE AND SUBSISTENCE,1
40008,"RELIGIOUS, RITUAL AND FUNERARY",1
40009,AGRICULTURE AND SUBSISTENCE,2
40010,AGRICULTURE AND SUBSISTENCE,1
40011,AGRICULTURE AND SUBSISTENCE,2
40012,INDUSTRIAL,1
40013,AGRICULTURE AND SUBSISTENCE,1
40014,MONUMENT (BY FORM),1
40015,MONUMENT (BY FORM),1
40016,MONUMENT (BY FORM),1
40017,MONUMENT (BY FORM),1
40018,MONUMENT (BY FORM),1
40019,MONUMENT (BY FORM),1
40020,INDUSTRIAL,1
40021,MONUMENT (BY FORM),1
40022,INDUSTRIAL,1
40023,MONUMENT (BY FORM),1
40024,MONUMENT (BY FORM),1
40025,"GARDENS, PARKS AND URBAN SPACES",1
40026,INDUSTRIAL,1
40027,MONUMENT (BY FORM),1
40028,INDUSTRIAL,1
40029,MONUMENT (BY FORM),1
40030,DOMESTIC,1
40031,AGRICULTURE AND SUBSISTENCE,1
40032,AGRICULTURE AND SUBSISTENCE,1
40033,DOMESTIC,1
40034,MONUMENT (BY FORM),1
40035,MONUMENT (BY FORM),1
40036,DOMESTIC,1
40037,WATER SUPPLY AND DRAINAGE,1
40038,MONUMENT (BY FORM),1
40039,AGRICULTURE AND SUBSISTENCE,1
40040,AGRICULTURE AND SUBSISTENCE,1
40041,AGRICULTURE AND SUBSISTENCE,1
40042,DOMESTIC,1
40043,"GARDENS, PARKS AND URBAN SPACES",1
40044,AGRICULTURE AND SUBSISTENCE,1
40045,MONUMENT (BY FORM),1
40046,TRANSPORT,1
40047,AGRICULTURE AND SUBSISTENCE,1
40048,TRANSPORT,1
40049,TRANSPORT,1
40050,AGRICULTURE AND SUBSISTENCE,1
40051,AGRICULTURE AND SUBSISTENCE,1
40052,AGRICULTURE AND SUBSISTENCE,1
40053,AGRICULTURE AND SUBSISTENCE,1
40054,AGRICULTURE AND SUBSISTENCE,1
40055,"RELIGIOUS, RITUAL AND FUNERARY",1
40056,AGRICULTURE AND SUBSISTENCE,1
40057,MONUMENT (BY FORM),1
40058,INDUSTRIAL,1
40059,AGRICULTURE AND SUBSISTENCE,1
40060,AGRICULTURE AND SUBSISTENCE,1
40061,TRANSPORT,1
40062,"RELIGIOUS, RITUAL AND FUNERARY",1
40063,AGRICULTURE AND SUBSISTENCE,1
40064,WATER SUPPLY AND DRAINAGE,1
40065,DOMESTIC,1
40066,AGRICULTURE AND SUBSISTENCE,1
40067,AGRICULTURE AND SUBSISTENCE,1
40068,AGRICULTURE AND SUBSISTENCE,1
40069,AGRICULTURE AND SUBSISTENCE,1
40070,AGRICULTURE AND SUBSISTENCE,1
40071,AGRICULTURE AND SUBSISTENCE,1
40072,AGRICULTURE AND SUBSISTENCE,1
40073,AGRICULTURE AND SUBSISTENCE,1
40074,INDUSTRIAL,1
40075,MONUMENT (BY FORM),1
40076,AGRICULTURE AND SUBSISTENCE,1
40077,AGRICULTURE AND SUBSISTENCE,1
40078,AGRICULTURE AND SUBSISTENCE,1
40079,AGRICULTURE AND SUBSISTENCE,1
40080,MONUMENT (BY FORM),1
40081,AGRICULTURE AND SUBSISTENCE,1
40082,INDUSTRIAL,1
40083,AGRICULTURE AND SUBSISTENCE,1
40084,"RELIGIOUS, RITUAL AND FUNERARY",1
40085,AGRICULTURE AND SUBSISTENCE,1
40086,AGRICULTURE AND SUBSISTENCE,1
40087,AGRICULTURE AND SUBSISTENCE,1
40088,AGRICULTURE AND SUBSISTENCE,1
40089,AGRICULTURE AND SUBSISTENCE,1
40090,AGRICULTURE AND SUBSISTENCE,1
40091,AGRICULTURE AND SUBSISTENCE,1
40092,TRANSPORT,1
40093,DOMESTIC,1
40094,RECREATIONAL,1
40095,AGRICULTURE AND SUBSISTENCE,1
40096,AGRICULTURE AND SUBSISTENCE,1
40097,DOMESTIC,1
40098,AGRICULTURE AND SUBSISTENCE,1
40099,AGRICULTURE AND SUBSISTENCE,1
40100,AGRICULTURE AND SUBSISTENCE,1
40101,AGRICULTURE AND SUBSISTENCE,1
40102,AGRICULTURE AND SUBSISTENCE,1
40103,AGRICULTURE AND SUBSISTENCE,1
40104,AGRICULTURE AND SUBSISTENCE,1
40105,TRANSPORT,1
40106,INDUSTRIAL,1
40107,TRANSPORT,1
40108,"RELIGIOUS, RITUAL AND FUNERARY",1
40109,DOMESTIC,1
40110,MONUMENT (BY FORM),1
40111,"RELIGIOUS, RITUAL AND FUNERARY",1
40112,"RELIGIOUS, RITUAL AND FUNERARY",1
40113,INDUSTRIAL,1
40114,TRANSPORT,1
40115,INDUSTRIAL,1
40116,AGRICULTURE AND SUBSISTENCE,1
40117,AGRICULTURE AND SUBSISTENCE,1
40118,AGRICULTURE AND SUBSISTENCE,1
40119,AGRICULTURE AND SUBSISTENCE,1
40120,AGRICULTURE AND SUBSISTENCE,1
40121,"RELIGIOUS, RITUAL AND FUNERARY",1
40122,AGRICULTURE AND SUBSISTENCE,1
40123,AGRICULTURE AND SUBSISTENCE,1
40124,AGRICULTURE AND SUBSISTENCE,1
40125,AGRICULTURE AND SUBSISTENCE,1
40126,TRANSPORT,1
40127,AGRICULTURE AND SUBSISTENCE,1
40128,DOMESTIC,1
40129,AGRICULTURE AND SUBSISTENCE,1
40130,"RELIGIOUS, RITUAL AND FUNERARY",1
40131,"RELIGIOUS, RITUAL AND FUNERARY",1
40132,"RELIGIOUS, RITUAL AND FUNERARY",1
40133,AGRICULTURE AND SUBSISTENCE,1
40134,"RELIGIOUS, RITUAL AND FUNERARY",1
40135,AGRICULTURE AND SUBSISTENCE,2
40136,AGRICULTURE AND SUBSISTENCE,1
40137,INDUSTRIAL,2
40138,TRANSPORT,1
40139,AGRICULTURE AND SUBSISTENCE,1
40140,MONUMENT (BY FORM),1
40141,INDUSTRIAL,2
40142,INDUSTRIAL,1
40143,MONUMENT (BY FORM),1
40144,INDUSTRIAL,1
40145,TRANSPORT,1
40146,TRANSPORT,1
40147,TRANSPORT,1
40148,INDUSTRIAL,1
40149,TRANSPORT,1
40150,NA,1
40151,INDUSTRIAL,1
40152,TRANSPORT,1
40153,TRANSPORT,1
40154,INDUSTRIAL,1
40155,INDUSTRIAL,1
40156,TRANSPORT,1
40157,DOMESTIC,1
40158,AGRICULTURE AND SUBSISTENCE,4
40159,MONUMENT (BY FORM),1
40160,NA,1
40161,MARITIME,1
40162,AGRICULTURE AND SUBSISTENCE,1
40163,INDUSTRIAL,1
40164,INDUSTRIAL,1
